Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
| distributed init (rank 0): env://
| distributed init (rank 1): env://
Namespace(data_path='/media/data/coco2017', weights_path=None, dataset='coco', model='my_fcos_resnet50_fpn', device='cuda', batch_size=2, epochs=26, workers=4, opt='sgd', lr=0.005, momentum=0.9, weight_decay=0.0001, norm_weight_decay=None, lr_scheduler='multisteplr', lr_step_size=8, lr_steps=[16, 22], lr_gamma=0.1, print_freq=20, output_dir='./outputs/FCOS/s3c_s4o_s5g', resume='', start_epoch=0, aspect_ratio_group_factor=3, rpn_score_thresh=None, trainable_backbone_layers=None, data_augmentation='hflip', sync_bn=False, test_only=False, use_deterministic_algorithms=False, world_size=2, dist_url='env://', weights=None, weights_backbone='ResNet50_Weights.IMAGENET1K_V1', amp=True, use_copypaste=False, backend='pil', use_v2=False, rank=0, gpu=0, distributed=True, dist_backend='nccl')
Loading data
root:  /media/data/coco2017
img_folder:  train2017
loading annotations into memory...
Done (t=8.31s)
creating index...
index created!
root:  /media/data/coco2017
img_folder:  val2017
loading annotations into memory...
Done (t=0.21s)
creating index...
index created!
Creating data loaders
Using [0, 0.5, 0.6299605249474365, 0.7937005259840997, 1.0, 1.259921049894873, 1.5874010519681991, 2.0, inf] as bins for aspect ratio quantization
Count of instances per bin: [  104   982 24236  2332  8225 74466  5763  1158]
Creating model
return_layers: {'layer2': '0', 'layer3': '1', 'layer4': '2'}
extra_blocks: LastLevelP6P7(
  (p6): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  (p7): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
)
Loading weights from ResNet50_Weights.IMAGENET1K_V1
return_layers: {'layer2': '0', 'layer3': '1', 'layer4': '2'}
extra_blocks: LastLevelP6P7(
  (p6): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  (p7): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
)
Start training
Epoch: [0]  [ 8040/29316]  eta: 1:17:47  lr: 0.005000  loss: 1.4890 (1.6139)  bbox_ctrness: 0.6314 (0.6452)  bbox_regression: 0.3314 (0.3841)  classification: 0.5190 (0.5845)  time: 0.2214  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8060/29316]  eta: 1:17:43  lr: 0.005000  loss: 1.4316 (1.6135)  bbox_ctrness: 0.6362 (0.6452)  bbox_regression: 0.3144 (0.3840)  classification: 0.4678 (0.5843)  time: 0.2178  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8080/29316]  eta: 1:17:38  lr: 0.005000  loss: 1.4350 (1.6131)  bbox_ctrness: 0.6394 (0.6452)  bbox_regression: 0.3480 (0.3839)  classification: 0.4797 (0.5840)  time: 0.2211  data: 0.0034  max mem: 5436
Epoch: [0]  [ 8100/29316]  eta: 1:17:34  lr: 0.005000  loss: 1.4114 (1.6126)  bbox_ctrness: 0.6362 (0.6452)  bbox_regression: 0.3307 (0.3837)  classification: 0.4519 (0.5837)  time: 0.2187  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8120/29316]  eta: 1:17:29  lr: 0.005000  loss: 1.4244 (1.6122)  bbox_ctrness: 0.6391 (0.6452)  bbox_regression: 0.3332 (0.3836)  classification: 0.4318 (0.5834)  time: 0.2159  data: 0.0038  max mem: 5436
Epoch: [0]  [ 8140/29316]  eta: 1:17:25  lr: 0.005000  loss: 1.4345 (1.6117)  bbox_ctrness: 0.6335 (0.6452)  bbox_regression: 0.3345 (0.3835)  classification: 0.4651 (0.5831)  time: 0.2230  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8160/29316]  eta: 1:17:21  lr: 0.005000  loss: 1.3908 (1.6112)  bbox_ctrness: 0.6351 (0.6451)  bbox_regression: 0.3372 (0.3834)  classification: 0.4234 (0.5827)  time: 0.2202  data: 0.0038  max mem: 5436
Epoch: [0]  [ 8180/29316]  eta: 1:17:16  lr: 0.005000  loss: 1.4249 (1.6108)  bbox_ctrness: 0.6368 (0.6451)  bbox_regression: 0.3242 (0.3832)  classification: 0.4620 (0.5824)  time: 0.2141  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8200/29316]  eta: 1:17:12  lr: 0.005000  loss: 1.3836 (1.6103)  bbox_ctrness: 0.6340 (0.6451)  bbox_regression: 0.3259 (0.3831)  classification: 0.4485 (0.5821)  time: 0.2207  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8220/29316]  eta: 1:17:07  lr: 0.005000  loss: 1.4422 (1.6099)  bbox_ctrness: 0.6392 (0.6451)  bbox_regression: 0.3406 (0.3830)  classification: 0.4566 (0.5818)  time: 0.2172  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8240/29316]  eta: 1:17:03  lr: 0.005000  loss: 1.4671 (1.6096)  bbox_ctrness: 0.6408 (0.6451)  bbox_regression: 0.3480 (0.3829)  classification: 0.5201 (0.5816)  time: 0.2236  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8260/29316]  eta: 1:16:59  lr: 0.005000  loss: 1.4882 (1.6093)  bbox_ctrness: 0.6405 (0.6451)  bbox_regression: 0.3638 (0.3828)  classification: 0.4727 (0.5814)  time: 0.2205  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8280/29316]  eta: 1:16:55  lr: 0.005000  loss: 1.4805 (1.6090)  bbox_ctrness: 0.6338 (0.6450)  bbox_regression: 0.3189 (0.3827)  classification: 0.5181 (0.5813)  time: 0.2207  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8300/29316]  eta: 1:16:50  lr: 0.005000  loss: 1.4695 (1.6087)  bbox_ctrness: 0.6369 (0.6450)  bbox_regression: 0.3359 (0.3826)  classification: 0.5229 (0.5811)  time: 0.2185  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8320/29316]  eta: 1:16:46  lr: 0.005000  loss: 1.4706 (1.6084)  bbox_ctrness: 0.6394 (0.6450)  bbox_regression: 0.3425 (0.3825)  classification: 0.5068 (0.5809)  time: 0.2201  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8340/29316]  eta: 1:16:42  lr: 0.005000  loss: 1.4520 (1.6080)  bbox_ctrness: 0.6365 (0.6450)  bbox_regression: 0.3238 (0.3823)  classification: 0.4796 (0.5807)  time: 0.2236  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8360/29316]  eta: 1:16:37  lr: 0.005000  loss: 1.4237 (1.6076)  bbox_ctrness: 0.6324 (0.6449)  bbox_regression: 0.3305 (0.3822)  classification: 0.4535 (0.5804)  time: 0.2203  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8380/29316]  eta: 1:16:33  lr: 0.005000  loss: 1.3757 (1.6070)  bbox_ctrness: 0.6304 (0.6449)  bbox_regression: 0.2891 (0.3820)  classification: 0.4579 (0.5801)  time: 0.2218  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8400/29316]  eta: 1:16:29  lr: 0.005000  loss: 1.4644 (1.6067)  bbox_ctrness: 0.6354 (0.6449)  bbox_regression: 0.3455 (0.3819)  classification: 0.4874 (0.5799)  time: 0.2182  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8420/29316]  eta: 1:16:24  lr: 0.005000  loss: 1.4503 (1.6063)  bbox_ctrness: 0.6333 (0.6449)  bbox_regression: 0.3088 (0.3818)  classification: 0.4725 (0.5797)  time: 0.2196  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8440/29316]  eta: 1:16:20  lr: 0.005000  loss: 1.4238 (1.6059)  bbox_ctrness: 0.6417 (0.6449)  bbox_regression: 0.3380 (0.3816)  classification: 0.4523 (0.5794)  time: 0.2203  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8460/29316]  eta: 1:16:16  lr: 0.005000  loss: 1.4173 (1.6055)  bbox_ctrness: 0.6361 (0.6448)  bbox_regression: 0.3279 (0.3815)  classification: 0.4327 (0.5791)  time: 0.2200  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8480/29316]  eta: 1:16:11  lr: 0.005000  loss: 1.3864 (1.6051)  bbox_ctrness: 0.6369 (0.6448)  bbox_regression: 0.3127 (0.3814)  classification: 0.4389 (0.5789)  time: 0.2148  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8500/29316]  eta: 1:16:07  lr: 0.005000  loss: 1.4062 (1.6046)  bbox_ctrness: 0.6352 (0.6448)  bbox_regression: 0.3176 (0.3812)  classification: 0.4112 (0.5785)  time: 0.2213  data: 0.0034  max mem: 5436
Epoch: [0]  [ 8520/29316]  eta: 1:16:02  lr: 0.005000  loss: 1.4357 (1.6041)  bbox_ctrness: 0.6291 (0.6448)  bbox_regression: 0.3138 (0.3811)  classification: 0.4891 (0.5783)  time: 0.2196  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8540/29316]  eta: 1:15:58  lr: 0.005000  loss: 1.4310 (1.6037)  bbox_ctrness: 0.6377 (0.6447)  bbox_regression: 0.3193 (0.3810)  classification: 0.4511 (0.5780)  time: 0.2213  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8560/29316]  eta: 1:15:53  lr: 0.005000  loss: 1.3889 (1.6033)  bbox_ctrness: 0.6349 (0.6447)  bbox_regression: 0.3139 (0.3808)  classification: 0.4588 (0.5778)  time: 0.2179  data: 0.0039  max mem: 5436
Epoch: [0]  [ 8580/29316]  eta: 1:15:49  lr: 0.005000  loss: 1.4370 (1.6029)  bbox_ctrness: 0.6362 (0.6447)  bbox_regression: 0.3194 (0.3807)  classification: 0.4714 (0.5775)  time: 0.2146  data: 0.0038  max mem: 5436
Epoch: [0]  [ 8600/29316]  eta: 1:15:44  lr: 0.005000  loss: 1.4294 (1.6025)  bbox_ctrness: 0.6328 (0.6447)  bbox_regression: 0.3081 (0.3805)  classification: 0.4626 (0.5773)  time: 0.2191  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8620/29316]  eta: 1:15:40  lr: 0.005000  loss: 1.3955 (1.6020)  bbox_ctrness: 0.6372 (0.6447)  bbox_regression: 0.3282 (0.3804)  classification: 0.4407 (0.5770)  time: 0.2226  data: 0.0034  max mem: 5436
Epoch: [0]  [ 8640/29316]  eta: 1:15:36  lr: 0.005000  loss: 1.4066 (1.6017)  bbox_ctrness: 0.6335 (0.6446)  bbox_regression: 0.3059 (0.3803)  classification: 0.4622 (0.5768)  time: 0.2194  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8660/29316]  eta: 1:15:31  lr: 0.005000  loss: 1.4356 (1.6013)  bbox_ctrness: 0.6323 (0.6446)  bbox_regression: 0.3267 (0.3802)  classification: 0.4735 (0.5765)  time: 0.2174  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8680/29316]  eta: 1:15:27  lr: 0.005000  loss: 1.3983 (1.6009)  bbox_ctrness: 0.6335 (0.6446)  bbox_regression: 0.3157 (0.3800)  classification: 0.4300 (0.5762)  time: 0.2222  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8700/29316]  eta: 1:15:23  lr: 0.005000  loss: 1.4237 (1.6005)  bbox_ctrness: 0.6314 (0.6446)  bbox_regression: 0.3193 (0.3799)  classification: 0.4549 (0.5760)  time: 0.2210  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8720/29316]  eta: 1:15:19  lr: 0.005000  loss: 1.3711 (1.5999)  bbox_ctrness: 0.6323 (0.6445)  bbox_regression: 0.2880 (0.3797)  classification: 0.4199 (0.5757)  time: 0.2234  data: 0.0034  max mem: 5436
Epoch: [0]  [ 8740/29316]  eta: 1:15:14  lr: 0.005000  loss: 1.3984 (1.5995)  bbox_ctrness: 0.6350 (0.6445)  bbox_regression: 0.3234 (0.3796)  classification: 0.4675 (0.5754)  time: 0.2207  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8760/29316]  eta: 1:15:10  lr: 0.005000  loss: 1.3820 (1.5991)  bbox_ctrness: 0.6369 (0.6445)  bbox_regression: 0.3224 (0.3794)  classification: 0.4445 (0.5751)  time: 0.2193  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8780/29316]  eta: 1:15:05  lr: 0.005000  loss: 1.3853 (1.5986)  bbox_ctrness: 0.6289 (0.6445)  bbox_regression: 0.3119 (0.3793)  classification: 0.4675 (0.5749)  time: 0.2160  data: 0.0035  max mem: 5436
Epoch: [0]  [ 8800/29316]  eta: 1:15:01  lr: 0.005000  loss: 1.4511 (1.5983)  bbox_ctrness: 0.6298 (0.6444)  bbox_regression: 0.3184 (0.3791)  classification: 0.5030 (0.5747)  time: 0.2139  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8820/29316]  eta: 1:14:56  lr: 0.005000  loss: 1.4627 (1.5980)  bbox_ctrness: 0.6421 (0.6444)  bbox_regression: 0.3293 (0.3790)  classification: 0.4832 (0.5745)  time: 0.2224  data: 0.0040  max mem: 5436
Epoch: [0]  [ 8840/29316]  eta: 1:14:52  lr: 0.005000  loss: 1.4417 (1.5976)  bbox_ctrness: 0.6310 (0.6444)  bbox_regression: 0.3178 (0.3789)  classification: 0.4731 (0.5743)  time: 0.2173  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8860/29316]  eta: 1:14:48  lr: 0.005000  loss: 1.3918 (1.5972)  bbox_ctrness: 0.6404 (0.6444)  bbox_regression: 0.3305 (0.3788)  classification: 0.4488 (0.5740)  time: 0.2222  data: 0.0036  max mem: 5436
Epoch: [0]  [ 8880/29316]  eta: 1:14:43  lr: 0.005000  loss: 1.4200 (1.5968)  bbox_ctrness: 0.6368 (0.6444)  bbox_regression: 0.3160 (0.3787)  classification: 0.4703 (0.5738)  time: 0.2206  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8900/29316]  eta: 1:14:39  lr: 0.005000  loss: 1.4188 (1.5964)  bbox_ctrness: 0.6391 (0.6444)  bbox_regression: 0.3232 (0.3786)  classification: 0.4279 (0.5735)  time: 0.2173  data: 0.0038  max mem: 5436
Epoch: [0]  [ 8920/29316]  eta: 1:14:35  lr: 0.005000  loss: 1.4272 (1.5961)  bbox_ctrness: 0.6370 (0.6444)  bbox_regression: 0.3377 (0.3785)  classification: 0.4713 (0.5733)  time: 0.2231  data: 0.0037  max mem: 5436
Epoch: [0]  [ 8940/29316]  eta: 1:14:30  lr: 0.005000  loss: 1.4362 (1.5957)  bbox_ctrness: 0.6296 (0.6443)  bbox_regression: 0.3060 (0.3783)  classification: 0.4550 (0.5730)  time: 0.2212  data: 0.0034  max mem: 5436
Epoch: [0]  [ 8960/29316]  eta: 1:14:26  lr: 0.005000  loss: 1.4630 (1.5954)  bbox_ctrness: 0.6398 (0.6443)  bbox_regression: 0.3215 (0.3782)  classification: 0.4716 (0.5728)  time: 0.2151  data: 0.0038  max mem: 5436
Epoch: [0]  [ 8980/29316]  eta: 1:14:21  lr: 0.005000  loss: 1.4559 (1.5951)  bbox_ctrness: 0.6410 (0.6443)  bbox_regression: 0.3243 (0.3781)  classification: 0.4799 (0.5727)  time: 0.2166  data: 0.0036  max mem: 5436
Epoch: [0]  [ 9000/29316]  eta: 1:14:17  lr: 0.005000  loss: 1.4714 (1.5948)  bbox_ctrness: 0.6254 (0.6443)  bbox_regression: 0.3185 (0.3780)  classification: 0.5077 (0.5725)  time: 0.2220  data: 0.0036  max mem: 5436
Epoch: [0]  [ 9020/29316]  eta: 1:14:13  lr: 0.005000  loss: 1.3836 (1.5944)  bbox_ctrness: 0.6309 (0.6443)  bbox_regression: 0.2982 (0.3779)  classification: 0.4465 (0.5722)  time: 0.2206  data: 0.0037  max mem: 5436
Epoch: [0]  [ 9040/29316]  eta: 1:14:08  lr: 0.005000  loss: 1.4631 (1.5941)  bbox_ctrness: 0.6410 (0.6443)  bbox_regression: 0.3536 (0.3778)  classification: 0.4959 (0.5721)  time: 0.2171  data: 0.0039  max mem: 5436
Epoch: [0]  [ 9060/29316]  eta: 1:14:04  lr: 0.005000  loss: 1.4544 (1.5938)  bbox_ctrness: 0.6283 (0.6442)  bbox_regression: 0.3279 (0.3777)  classification: 0.4866 (0.5719)  time: 0.2250  data: 0.0036  max mem: 5436
Epoch: [0]  [ 9080/29316]  eta: 1:14:00  lr: 0.005000  loss: 1.3523 (1.5933)  bbox_ctrness: 0.6312 (0.6442)  bbox_regression: 0.3013 (0.3776)  classification: 0.4130 (0.5716)  time: 0.2208  data: 0.0036  max mem: 5436
Epoch: [0]  [ 9100/29316]  eta: 1:13:55  lr: 0.005000  loss: 1.4389 (1.5930)  bbox_ctrness: 0.6332 (0.6442)  bbox_regression: 0.3255 (0.3775)  classification: 0.4708 (0.5713)  time: 0.2175  data: 0.0036  max mem: 5436
Epoch: [0]  [ 9120/29316]  eta: 1:13:51  lr: 0.005000  loss: 1.4167 (1.5926)  bbox_ctrness: 0.6394 (0.6442)  bbox_regression: 0.3419 (0.3774)  classification: 0.4360 (0.5711)  time: 0.2264  data: 0.0037  max mem: 5436
Epoch: [0]  [ 9140/29316]  eta: 1:13:47  lr: 0.005000  loss: 1.3859 (1.5922)  bbox_ctrness: 0.6381 (0.6442)  bbox_regression: 0.3056 (0.3772)  classification: 0.4429 (0.5708)  time: 0.2180  data: 0.0038  max mem: 5436
Epoch: [0]  [ 9160/29316]  eta: 1:13:42  lr: 0.005000  loss: 1.4110 (1.5919)  bbox_ctrness: 0.6374 (0.6441)  bbox_regression: 0.3261 (0.3771)  classification: 0.4412 (0.5706)  time: 0.2168  data: 0.0037  max mem: 5436
Epoch: [0]  [ 9180/29316]  eta: 1:13:38  lr: 0.005000  loss: 1.3971 (1.5915)  bbox_ctrness: 0.6320 (0.6441)  bbox_regression: 0.3049 (0.3770)  classification: 0.4643 (0.5704)  time: 0.2190  data: 0.0037  max mem: 5436
Epoch: [0]  [ 9200/29316]  eta: 1:13:33  lr: 0.005000  loss: 1.4123 (1.5911)  bbox_ctrness: 0.6392 (0.6441)  bbox_regression: 0.3215 (0.3769)  classification: 0.4354 (0.5701)  time: 0.2211  data: 0.0037  max mem: 5436
Epoch: [0]  [ 9220/29316]  eta: 1:13:29  lr: 0.005000  loss: 1.4622 (1.5908)  bbox_ctrness: 0.6360 (0.6441)  bbox_regression: 0.3598 (0.3768)  classification: 0.4625 (0.5699)  time: 0.2209  data: 0.0035  max mem: 5436
Epoch: [0]  [ 9240/29316]  eta: 1:13:25  lr: 0.005000  loss: 1.4469 (1.5906)  bbox_ctrness: 0.6370 (0.6441)  bbox_regression: 0.3368 (0.3767)  classification: 0.5172 (0.5698)  time: 0.2232  data: 0.0038  max mem: 5464
Epoch: [0]  [ 9260/29316]  eta: 1:13:20  lr: 0.005000  loss: 1.3735 (1.5902)  bbox_ctrness: 0.6276 (0.6441)  bbox_regression: 0.3071 (0.3766)  classification: 0.4483 (0.5695)  time: 0.2143  data: 0.0035  max mem: 5464
Epoch: [0]  [ 9280/29316]  eta: 1:13:16  lr: 0.005000  loss: 1.3852 (1.5898)  bbox_ctrness: 0.6291 (0.6440)  bbox_regression: 0.2780 (0.3764)  classification: 0.4518 (0.5693)  time: 0.2181  data: 0.0035  max mem: 5464
Epoch: [0]  [ 9300/29316]  eta: 1:13:11  lr: 0.005000  loss: 1.4285 (1.5894)  bbox_ctrness: 0.6285 (0.6440)  bbox_regression: 0.3263 (0.3763)  classification: 0.4739 (0.5691)  time: 0.2208  data: 0.0037  max mem: 5464
Epoch: [0]  [ 9320/29316]  eta: 1:13:07  lr: 0.005000  loss: 1.4453 (1.5892)  bbox_ctrness: 0.6341 (0.6440)  bbox_regression: 0.3326 (0.3762)  classification: 0.4726 (0.5689)  time: 0.2187  data: 0.0038  max mem: 5464
Epoch: [0]  [ 9340/29316]  eta: 1:13:03  lr: 0.005000  loss: 1.4556 (1.5889)  bbox_ctrness: 0.6311 (0.6440)  bbox_regression: 0.3147 (0.3761)  classification: 0.4872 (0.5688)  time: 0.2178  data: 0.0039  max mem: 5464
Epoch: [0]  [ 9360/29316]  eta: 1:12:58  lr: 0.005000  loss: 1.4234 (1.5885)  bbox_ctrness: 0.6313 (0.6439)  bbox_regression: 0.3089 (0.3760)  classification: 0.4439 (0.5685)  time: 0.2201  data: 0.0036  max mem: 5464
Epoch: [0]  [ 9380/29316]  eta: 1:12:54  lr: 0.005000  loss: 1.3884 (1.5881)  bbox_ctrness: 0.6271 (0.6439)  bbox_regression: 0.3132 (0.3759)  classification: 0.4292 (0.5683)  time: 0.2156  data: 0.0039  max mem: 5464
Epoch: [0]  [ 9400/29316]  eta: 1:12:49  lr: 0.005000  loss: 1.4803 (1.5878)  bbox_ctrness: 0.6380 (0.6439)  bbox_regression: 0.3284 (0.3758)  classification: 0.5022 (0.5682)  time: 0.2163  data: 0.0035  max mem: 5464
Epoch: [0]  [ 9420/29316]  eta: 1:12:45  lr: 0.005000  loss: 1.4435 (1.5875)  bbox_ctrness: 0.6366 (0.6439)  bbox_regression: 0.3183 (0.3756)  classification: 0.4957 (0.5680)  time: 0.2206  data: 0.0037  max mem: 5464
Epoch: [0]  [ 9440/29316]  eta: 1:12:40  lr: 0.005000  loss: 1.3867 (1.5871)  bbox_ctrness: 0.6355 (0.6439)  bbox_regression: 0.3107 (0.3755)  classification: 0.4313 (0.5678)  time: 0.2190  data: 0.0037  max mem: 5464
Epoch: [0]  [ 9460/29316]  eta: 1:12:36  lr: 0.005000  loss: 1.4426 (1.5868)  bbox_ctrness: 0.6316 (0.6438)  bbox_regression: 0.3079 (0.3754)  classification: 0.4651 (0.5676)  time: 0.2238  data: 0.0039  max mem: 5464
Epoch: [0]  [ 9480/29316]  eta: 1:12:32  lr: 0.005000  loss: 1.4188 (1.5865)  bbox_ctrness: 0.6367 (0.6438)  bbox_regression: 0.3255 (0.3753)  classification: 0.4876 (0.5674)  time: 0.2163  data: 0.0038  max mem: 5464
Epoch: [0]  [ 9500/29316]  eta: 1:12:27  lr: 0.005000  loss: 1.4434 (1.5862)  bbox_ctrness: 0.6334 (0.6438)  bbox_regression: 0.3064 (0.3752)  classification: 0.4784 (0.5673)  time: 0.2178  data: 0.0038  max mem: 5464
Epoch: [0]  [ 9520/29316]  eta: 1:12:23  lr: 0.005000  loss: 1.3830 (1.5859)  bbox_ctrness: 0.6309 (0.6438)  bbox_regression: 0.3105 (0.3750)  classification: 0.4255 (0.5671)  time: 0.2213  data: 0.0039  max mem: 5464
Epoch: [0]  [ 9540/29316]  eta: 1:12:18  lr: 0.005000  loss: 1.4187 (1.5855)  bbox_ctrness: 0.6336 (0.6438)  bbox_regression: 0.3265 (0.3749)  classification: 0.4573 (0.5669)  time: 0.2166  data: 0.0039  max mem: 5464
Epoch: [0]  [ 9560/29316]  eta: 1:12:14  lr: 0.005000  loss: 1.4238 (1.5852)  bbox_ctrness: 0.6313 (0.6437)  bbox_regression: 0.2966 (0.3748)  classification: 0.4898 (0.5667)  time: 0.2217  data: 0.0039  max mem: 5464
Epoch: [0]  [ 9580/29316]  eta: 1:12:10  lr: 0.005000  loss: 1.4312 (1.5849)  bbox_ctrness: 0.6407 (0.6437)  bbox_regression: 0.3282 (0.3747)  classification: 0.4349 (0.5664)  time: 0.2250  data: 0.0037  max mem: 5464
Epoch: [0]  [ 9600/29316]  eta: 1:12:06  lr: 0.005000  loss: 1.4139 (1.5846)  bbox_ctrness: 0.6326 (0.6437)  bbox_regression: 0.3279 (0.3746)  classification: 0.4420 (0.5662)  time: 0.2193  data: 0.0036  max mem: 5464
Epoch: [0]  [ 9620/29316]  eta: 1:12:01  lr: 0.005000  loss: 1.4281 (1.5843)  bbox_ctrness: 0.6392 (0.6437)  bbox_regression: 0.3249 (0.3745)  classification: 0.4577 (0.5661)  time: 0.2205  data: 0.0037  max mem: 5464
Epoch: [0]  [ 9640/29316]  eta: 1:11:57  lr: 0.005000  loss: 1.4430 (1.5840)  bbox_ctrness: 0.6351 (0.6437)  bbox_regression: 0.3278 (0.3745)  classification: 0.4614 (0.5659)  time: 0.2210  data: 0.0037  max mem: 5464
Epoch: [0]  [ 9660/29316]  eta: 1:11:53  lr: 0.005000  loss: 1.4470 (1.5837)  bbox_ctrness: 0.6362 (0.6437)  bbox_regression: 0.3252 (0.3743)  classification: 0.4854 (0.5657)  time: 0.2217  data: 0.0034  max mem: 5464
Epoch: [0]  [ 9680/29316]  eta: 1:11:48  lr: 0.005000  loss: 1.3565 (1.5833)  bbox_ctrness: 0.6316 (0.6436)  bbox_regression: 0.3254 (0.3742)  classification: 0.4274 (0.5655)  time: 0.2207  data: 0.0038  max mem: 5464
Epoch: [0]  [ 9700/29316]  eta: 1:11:44  lr: 0.005000  loss: 1.4439 (1.5830)  bbox_ctrness: 0.6293 (0.6436)  bbox_regression: 0.2935 (0.3741)  classification: 0.4757 (0.5653)  time: 0.2201  data: 0.0038  max mem: 5464
Epoch: [0]  [ 9720/29316]  eta: 1:11:40  lr: 0.005000  loss: 1.4354 (1.5828)  bbox_ctrness: 0.6331 (0.6436)  bbox_regression: 0.3131 (0.3740)  classification: 0.4731 (0.5652)  time: 0.2215  data: 0.0037  max mem: 5464
Epoch: [0]  [ 9740/29316]  eta: 1:11:35  lr: 0.005000  loss: 1.4035 (1.5824)  bbox_ctrness: 0.6393 (0.6436)  bbox_regression: 0.3341 (0.3739)  classification: 0.4423 (0.5649)  time: 0.2231  data: 0.0039  max mem: 5464
Epoch: [0]  [ 9760/29316]  eta: 1:11:31  lr: 0.005000  loss: 1.4063 (1.5821)  bbox_ctrness: 0.6297 (0.6436)  bbox_regression: 0.3278 (0.3738)  classification: 0.4330 (0.5647)  time: 0.2185  data: 0.0037  max mem: 5464
Epoch: [0]  [ 9780/29316]  eta: 1:11:27  lr: 0.005000  loss: 1.4774 (1.5818)  bbox_ctrness: 0.6416 (0.6436)  bbox_regression: 0.3347 (0.3737)  classification: 0.4727 (0.5645)  time: 0.2193  data: 0.0037  max mem: 5464
Epoch: [0]  [ 9800/29316]  eta: 1:11:22  lr: 0.005000  loss: 1.4057 (1.5814)  bbox_ctrness: 0.6347 (0.6436)  bbox_regression: 0.3020 (0.3736)  classification: 0.4328 (0.5643)  time: 0.2180  data: 0.0039  max mem: 5464
Epoch: [0]  [ 9820/29316]  eta: 1:11:18  lr: 0.005000  loss: 1.3749 (1.5811)  bbox_ctrness: 0.6353 (0.6435)  bbox_regression: 0.3147 (0.3735)  classification: 0.4441 (0.5640)  time: 0.2211  data: 0.0039  max mem: 5464
Epoch: [0]  [ 9840/29316]  eta: 1:11:13  lr: 0.005000  loss: 1.3817 (1.5807)  bbox_ctrness: 0.6353 (0.6435)  bbox_regression: 0.3103 (0.3734)  classification: 0.4116 (0.5638)  time: 0.2202  data: 0.0038  max mem: 5464
Epoch: [0]  [ 9860/29316]  eta: 1:11:09  lr: 0.005000  loss: 1.4205 (1.5804)  bbox_ctrness: 0.6321 (0.6435)  bbox_regression: 0.3015 (0.3733)  classification: 0.4675 (0.5636)  time: 0.2224  data: 0.0035  max mem: 5464
Epoch: [0]  [ 9880/29316]  eta: 1:11:05  lr: 0.005000  loss: 1.4183 (1.5800)  bbox_ctrness: 0.6336 (0.6435)  bbox_regression: 0.3228 (0.3732)  classification: 0.4671 (0.5634)  time: 0.2206  data: 0.0036  max mem: 5464
Epoch: [0]  [ 9900/29316]  eta: 1:11:00  lr: 0.005000  loss: 1.3994 (1.5797)  bbox_ctrness: 0.6343 (0.6435)  bbox_regression: 0.3268 (0.3731)  classification: 0.4295 (0.5632)  time: 0.2200  data: 0.0036  max mem: 5464
Epoch: [0]  [ 9920/29316]  eta: 1:10:56  lr: 0.005000  loss: 1.4084 (1.5794)  bbox_ctrness: 0.6272 (0.6434)  bbox_regression: 0.3152 (0.3730)  classification: 0.4723 (0.5630)  time: 0.2167  data: 0.0037  max mem: 5464
