Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
| distributed init (rank 0): env://
| distributed init (rank 1): env://
Namespace(data_path='/media/data/coco2017', weights_path=None, dataset='coco', model='my_fcos_resnet50_fpn', device='cuda', batch_size=2, epochs=26, workers=4, opt='sgd', lr=0.005, momentum=0.9, weight_decay=0.0001, norm_weight_decay=None, lr_scheduler='multisteplr', lr_step_size=8, lr_steps=[16, 22], lr_gamma=0.1, print_freq=20, output_dir='./outputs/FCOS/s3c_s4o_s5g', resume='', start_epoch=0, aspect_ratio_group_factor=3, rpn_score_thresh=None, trainable_backbone_layers=None, data_augmentation='hflip', sync_bn=False, test_only=False, use_deterministic_algorithms=False, world_size=2, dist_url='env://', weights=None, weights_backbone='ResNet50_Weights.IMAGENET1K_V1', amp=True, use_copypaste=False, backend='pil', use_v2=False, rank=0, gpu=0, distributed=True, dist_backend='nccl')
Loading data
root:  /media/data/coco2017
img_folder:  train2017
loading annotations into memory...
Done (t=8.31s)
creating index...
index created!
root:  /media/data/coco2017
img_folder:  val2017
loading annotations into memory...
Done (t=0.21s)
creating index...
index created!
Creating data loaders
Using [0, 0.5, 0.6299605249474365, 0.7937005259840997, 1.0, 1.259921049894873, 1.5874010519681991, 2.0, inf] as bins for aspect ratio quantization
Count of instances per bin: [  104   982 24236  2332  8225 74466  5763  1158]
Creating model
return_layers: {'layer2': '0', 'layer3': '1', 'layer4': '2'}
extra_blocks: LastLevelP6P7(
  (p6): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  (p7): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
)
Loading weights from ResNet50_Weights.IMAGENET1K_V1
return_layers: {'layer2': '0', 'layer3': '1', 'layer4': '2'}
extra_blocks: LastLevelP6P7(
  (p6): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
  (p7): Conv2d(256, 256, kernel_size=(3, 3), stride=(2, 2), padding=(1, 1))
)
Start training
Epoch: [0]  [  300/29316]  eta: 1:46:11  lr: 0.001508  loss: 2.0835 (2.2859)  bbox_ctrness: 0.6718 (0.6721)  bbox_regression: 0.5301 (0.6330)  classification: 0.9065 (0.9808)  time: 0.2145  data: 0.0037  max mem: 5417
Epoch: [0]  [  320/29316]  eta: 1:45:59  lr: 0.001608  loss: 2.0740 (2.2742)  bbox_ctrness: 0.6688 (0.6721)  bbox_regression: 0.5414 (0.6273)  classification: 0.9128 (0.9748)  time: 0.2155  data: 0.0036  max mem: 5417
Epoch: [0]  [  340/29316]  eta: 1:45:52  lr: 0.001708  loss: 2.0667 (2.2626)  bbox_ctrness: 0.6660 (0.6719)  bbox_regression: 0.5186 (0.6211)  classification: 0.8802 (0.9696)  time: 0.2177  data: 0.0035  max mem: 5417
Epoch: [0]  [  360/29316]  eta: 1:45:47  lr: 0.001808  loss: 2.0527 (2.2500)  bbox_ctrness: 0.6688 (0.6716)  bbox_regression: 0.5246 (0.6155)  classification: 0.8276 (0.9630)  time: 0.2189  data: 0.0035  max mem: 5417
Epoch: [0]  [  380/29316]  eta: 1:45:39  lr: 0.001908  loss: 1.9849 (2.2372)  bbox_ctrness: 0.6684 (0.6714)  bbox_regression: 0.5018 (0.6096)  classification: 0.8069 (0.9562)  time: 0.2169  data: 0.0037  max mem: 5417
Epoch: [0]  [  400/29316]  eta: 1:45:38  lr: 0.002008  loss: 1.9736 (2.2260)  bbox_ctrness: 0.6723 (0.6716)  bbox_regression: 0.5129 (0.6049)  classification: 0.7876 (0.9495)  time: 0.2213  data: 0.0037  max mem: 5417
Epoch: [0]  [  420/29316]  eta: 1:45:38  lr: 0.002108  loss: 2.0595 (2.2181)  bbox_ctrness: 0.6675 (0.6715)  bbox_regression: 0.4900 (0.5997)  classification: 0.8955 (0.9469)  time: 0.2221  data: 0.0036  max mem: 5417
Epoch: [0]  [  440/29316]  eta: 1:45:34  lr: 0.002208  loss: 2.0380 (2.2094)  bbox_ctrness: 0.6663 (0.6712)  bbox_regression: 0.5238 (0.5958)  classification: 0.8436 (0.9424)  time: 0.2200  data: 0.0038  max mem: 5417
Epoch: [0]  [  460/29316]  eta: 1:45:33  lr: 0.002308  loss: 1.9989 (2.2007)  bbox_ctrness: 0.6677 (0.6709)  bbox_regression: 0.5008 (0.5915)  classification: 0.8266 (0.9383)  time: 0.2216  data: 0.0037  max mem: 5417
Epoch: [0]  [  480/29316]  eta: 1:45:28  lr: 0.002408  loss: 2.0159 (2.1928)  bbox_ctrness: 0.6694 (0.6708)  bbox_regression: 0.4961 (0.5877)  classification: 0.8379 (0.9343)  time: 0.2196  data: 0.0039  max mem: 5417
Epoch: [0]  [  500/29316]  eta: 1:45:22  lr: 0.002507  loss: 1.9943 (2.1851)  bbox_ctrness: 0.6561 (0.6703)  bbox_regression: 0.4841 (0.5840)  classification: 0.8450 (0.9308)  time: 0.2175  data: 0.0039  max mem: 5417
Epoch: [0]  [  520/29316]  eta: 1:45:19  lr: 0.002607  loss: 1.9861 (2.1789)  bbox_ctrness: 0.6623 (0.6701)  bbox_regression: 0.5016 (0.5813)  classification: 0.8437 (0.9275)  time: 0.2205  data: 0.0036  max mem: 5417
Epoch: [0]  [  540/29316]  eta: 1:45:17  lr: 0.002707  loss: 1.9430 (2.1703)  bbox_ctrness: 0.6596 (0.6699)  bbox_regression: 0.4880 (0.5778)  classification: 0.7930 (0.9227)  time: 0.2218  data: 0.0037  max mem: 5417
Epoch: [0]  [  560/29316]  eta: 1:45:13  lr: 0.002807  loss: 1.9604 (2.1628)  bbox_ctrness: 0.6593 (0.6696)  bbox_regression: 0.4776 (0.5744)  classification: 0.8197 (0.9188)  time: 0.2203  data: 0.0039  max mem: 5417
Epoch: [0]  [  580/29316]  eta: 1:45:07  lr: 0.002907  loss: 1.9691 (2.1567)  bbox_ctrness: 0.6591 (0.6693)  bbox_regression: 0.4787 (0.5714)  classification: 0.8000 (0.9159)  time: 0.2178  data: 0.0036  max mem: 5417
Epoch: [0]  [  600/29316]  eta: 1:44:55  lr: 0.003007  loss: 1.9806 (2.1514)  bbox_ctrness: 0.6673 (0.6695)  bbox_regression: 0.5079 (0.5696)  classification: 0.7986 (0.9123)  time: 0.2118  data: 0.0039  max mem: 5417
Epoch: [0]  [  620/29316]  eta: 1:44:52  lr: 0.003107  loss: 1.8846 (2.1431)  bbox_ctrness: 0.6636 (0.6692)  bbox_regression: 0.4729 (0.5665)  classification: 0.7469 (0.9075)  time: 0.2204  data: 0.0034  max mem: 5417
Epoch: [0]  [  640/29316]  eta: 1:44:49  lr: 0.003207  loss: 1.9192 (2.1366)  bbox_ctrness: 0.6656 (0.6690)  bbox_regression: 0.4898 (0.5641)  classification: 0.7686 (0.9035)  time: 0.2208  data: 0.0037  max mem: 5417
Epoch: [0]  [  660/29316]  eta: 1:44:43  lr: 0.003307  loss: 1.9240 (2.1312)  bbox_ctrness: 0.6574 (0.6686)  bbox_regression: 0.4732 (0.5616)  classification: 0.8146 (0.9010)  time: 0.2176  data: 0.0035  max mem: 5417
Epoch: [0]  [  680/29316]  eta: 1:44:37  lr: 0.003407  loss: 1.9661 (2.1253)  bbox_ctrness: 0.6563 (0.6683)  bbox_regression: 0.4839 (0.5593)  classification: 0.7799 (0.8977)  time: 0.2169  data: 0.0036  max mem: 5417
Epoch: [0]  [  700/29316]  eta: 1:44:32  lr: 0.003506  loss: 1.9073 (2.1191)  bbox_ctrness: 0.6614 (0.6681)  bbox_regression: 0.4670 (0.5569)  classification: 0.7699 (0.8941)  time: 0.2182  data: 0.0037  max mem: 5417
Epoch: [0]  [  720/29316]  eta: 1:44:29  lr: 0.003606  loss: 1.9454 (2.1133)  bbox_ctrness: 0.6632 (0.6680)  bbox_regression: 0.4604 (0.5542)  classification: 0.8166 (0.8911)  time: 0.2210  data: 0.0038  max mem: 5417
Epoch: [0]  [  740/29316]  eta: 1:44:24  lr: 0.003706  loss: 1.9258 (2.1076)  bbox_ctrness: 0.6543 (0.6677)  bbox_regression: 0.4575 (0.5518)  classification: 0.7729 (0.8881)  time: 0.2184  data: 0.0035  max mem: 5417
Epoch: [0]  [  760/29316]  eta: 1:44:18  lr: 0.003806  loss: 1.9373 (2.1039)  bbox_ctrness: 0.6604 (0.6676)  bbox_regression: 0.4897 (0.5502)  classification: 0.8108 (0.8862)  time: 0.2171  data: 0.0036  max mem: 5417
Epoch: [0]  [  780/29316]  eta: 1:44:15  lr: 0.003906  loss: 1.8854 (2.0981)  bbox_ctrness: 0.6660 (0.6676)  bbox_regression: 0.4745 (0.5484)  classification: 0.7138 (0.8821)  time: 0.2219  data: 0.0036  max mem: 5417
Epoch: [0]  [  800/29316]  eta: 1:44:10  lr: 0.004006  loss: 1.7643 (2.0909)  bbox_ctrness: 0.6661 (0.6675)  bbox_regression: 0.4375 (0.5460)  classification: 0.6553 (0.8774)  time: 0.2179  data: 0.0034  max mem: 5417
Epoch: [0]  [  820/29316]  eta: 1:44:06  lr: 0.004106  loss: 1.8590 (2.0851)  bbox_ctrness: 0.6649 (0.6675)  bbox_regression: 0.4735 (0.5441)  classification: 0.6899 (0.8735)  time: 0.2195  data: 0.0036  max mem: 5417
Epoch: [0]  [  840/29316]  eta: 1:44:01  lr: 0.004206  loss: 1.9006 (2.0804)  bbox_ctrness: 0.6680 (0.6674)  bbox_regression: 0.4907 (0.5426)  classification: 0.7285 (0.8704)  time: 0.2189  data: 0.0036  max mem: 5417
Epoch: [0]  [  860/29316]  eta: 1:43:59  lr: 0.004306  loss: 1.7945 (2.0743)  bbox_ctrness: 0.6597 (0.6672)  bbox_regression: 0.4408 (0.5402)  classification: 0.6971 (0.8668)  time: 0.2221  data: 0.0035  max mem: 5417
Epoch: [0]  [  880/29316]  eta: 1:43:52  lr: 0.004406  loss: 1.8149 (2.0679)  bbox_ctrness: 0.6549 (0.6670)  bbox_regression: 0.4392 (0.5380)  classification: 0.6788 (0.8629)  time: 0.2166  data: 0.0036  max mem: 5417
Epoch: [0]  [  900/29316]  eta: 1:43:48  lr: 0.004505  loss: 1.8535 (2.0639)  bbox_ctrness: 0.6524 (0.6668)  bbox_regression: 0.4355 (0.5361)  classification: 0.7775 (0.8610)  time: 0.2183  data: 0.0035  max mem: 5417
Epoch: [0]  [  920/29316]  eta: 1:43:43  lr: 0.004605  loss: 1.8132 (2.0589)  bbox_ctrness: 0.6628 (0.6668)  bbox_regression: 0.4437 (0.5340)  classification: 0.7242 (0.8581)  time: 0.2194  data: 0.0036  max mem: 5417
Epoch: [0]  [  940/29316]  eta: 1:43:41  lr: 0.004705  loss: 1.8928 (2.0553)  bbox_ctrness: 0.6797 (0.6670)  bbox_regression: 0.4791 (0.5327)  classification: 0.7279 (0.8556)  time: 0.2218  data: 0.0037  max mem: 5417
Epoch: [0]  [  960/29316]  eta: 1:43:38  lr: 0.004805  loss: 1.9579 (2.0532)  bbox_ctrness: 0.6583 (0.6669)  bbox_regression: 0.4625 (0.5312)  classification: 0.8374 (0.8552)  time: 0.2217  data: 0.0036  max mem: 5417
Epoch: [0]  [  980/29316]  eta: 1:43:33  lr: 0.004905  loss: 1.8475 (2.0494)  bbox_ctrness: 0.6580 (0.6667)  bbox_regression: 0.4365 (0.5298)  classification: 0.7458 (0.8530)  time: 0.2181  data: 0.0034  max mem: 5417
Epoch: [0]  [ 1000/29316]  eta: 1:43:29  lr: 0.005000  loss: 1.8512 (2.0455)  bbox_ctrness: 0.6561 (0.6665)  bbox_regression: 0.4396 (0.5280)  classification: 0.7349 (0.8511)  time: 0.2202  data: 0.0036  max mem: 5417
Epoch: [0]  [ 1020/29316]  eta: 1:43:26  lr: 0.005000  loss: 1.8366 (2.0419)  bbox_ctrness: 0.6624 (0.6666)  bbox_regression: 0.4552 (0.5265)  classification: 0.7267 (0.8488)  time: 0.2220  data: 0.0035  max mem: 5433
Epoch: [0]  [ 1040/29316]  eta: 1:43:22  lr: 0.005000  loss: 1.8825 (2.0390)  bbox_ctrness: 0.6617 (0.6665)  bbox_regression: 0.4526 (0.5253)  classification: 0.8008 (0.8472)  time: 0.2198  data: 0.0035  max mem: 5433
Epoch: [0]  [ 1060/29316]  eta: 1:43:19  lr: 0.005000  loss: 1.8181 (2.0362)  bbox_ctrness: 0.6642 (0.6664)  bbox_regression: 0.4723 (0.5241)  classification: 0.7282 (0.8457)  time: 0.2232  data: 0.0035  max mem: 5433
Epoch: [0]  [ 1080/29316]  eta: 1:43:15  lr: 0.005000  loss: 1.8393 (2.0333)  bbox_ctrness: 0.6553 (0.6662)  bbox_regression: 0.4455 (0.5229)  classification: 0.7426 (0.8442)  time: 0.2196  data: 0.0035  max mem: 5433
Epoch: [0]  [ 1100/29316]  eta: 1:43:12  lr: 0.005000  loss: 1.7986 (2.0298)  bbox_ctrness: 0.6545 (0.6660)  bbox_regression: 0.4144 (0.5212)  classification: 0.7500 (0.8425)  time: 0.2215  data: 0.0037  max mem: 5433
Epoch: [0]  [ 1120/29316]  eta: 1:43:07  lr: 0.005000  loss: 1.8508 (2.0270)  bbox_ctrness: 0.6537 (0.6658)  bbox_regression: 0.4361 (0.5197)  classification: 0.8000 (0.8414)  time: 0.2178  data: 0.0039  max mem: 5433
Epoch: [0]  [ 1140/29316]  eta: 1:43:03  lr: 0.005000  loss: 1.7859 (2.0231)  bbox_ctrness: 0.6534 (0.6656)  bbox_regression: 0.4495 (0.5183)  classification: 0.7179 (0.8391)  time: 0.2214  data: 0.0037  max mem: 5433
Epoch: [0]  [ 1160/29316]  eta: 1:42:56  lr: 0.005000  loss: 1.7512 (2.0189)  bbox_ctrness: 0.6520 (0.6654)  bbox_regression: 0.4233 (0.5168)  classification: 0.6811 (0.8368)  time: 0.2134  data: 0.0035  max mem: 5433
Epoch: [0]  [ 1180/29316]  eta: 1:42:48  lr: 0.005000  loss: 1.7620 (2.0147)  bbox_ctrness: 0.6545 (0.6652)  bbox_regression: 0.4259 (0.5154)  classification: 0.7060 (0.8341)  time: 0.2116  data: 0.0038  max mem: 5433
Epoch: [0]  [ 1200/29316]  eta: 1:42:43  lr: 0.005000  loss: 1.8134 (2.0114)  bbox_ctrness: 0.6543 (0.6650)  bbox_regression: 0.4325 (0.5139)  classification: 0.7184 (0.8325)  time: 0.2194  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1220/29316]  eta: 1:42:40  lr: 0.005000  loss: 1.8327 (2.0085)  bbox_ctrness: 0.6531 (0.6649)  bbox_regression: 0.4371 (0.5128)  classification: 0.7528 (0.8308)  time: 0.2217  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1240/29316]  eta: 1:42:36  lr: 0.005000  loss: 1.7580 (2.0045)  bbox_ctrness: 0.6519 (0.6647)  bbox_regression: 0.4202 (0.5114)  classification: 0.6829 (0.8284)  time: 0.2188  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1260/29316]  eta: 1:42:31  lr: 0.005000  loss: 1.7444 (2.0004)  bbox_ctrness: 0.6569 (0.6645)  bbox_regression: 0.4027 (0.5100)  classification: 0.6880 (0.8259)  time: 0.2191  data: 0.0037  max mem: 5433
Epoch: [0]  [ 1280/29316]  eta: 1:42:26  lr: 0.005000  loss: 1.7362 (1.9964)  bbox_ctrness: 0.6592 (0.6645)  bbox_regression: 0.4231 (0.5087)  classification: 0.6669 (0.8232)  time: 0.2169  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1300/29316]  eta: 1:42:20  lr: 0.005000  loss: 1.6693 (1.9925)  bbox_ctrness: 0.6525 (0.6643)  bbox_regression: 0.4232 (0.5074)  classification: 0.6720 (0.8208)  time: 0.2166  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1320/29316]  eta: 1:42:16  lr: 0.005000  loss: 1.7092 (1.9886)  bbox_ctrness: 0.6487 (0.6641)  bbox_regression: 0.4294 (0.5061)  classification: 0.6276 (0.8185)  time: 0.2196  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1340/29316]  eta: 1:42:12  lr: 0.005000  loss: 1.7314 (1.9849)  bbox_ctrness: 0.6586 (0.6639)  bbox_regression: 0.4258 (0.5050)  classification: 0.6510 (0.8160)  time: 0.2205  data: 0.0037  max mem: 5433
Epoch: [0]  [ 1360/29316]  eta: 1:42:07  lr: 0.005000  loss: 1.7223 (1.9813)  bbox_ctrness: 0.6552 (0.6639)  bbox_regression: 0.4306 (0.5039)  classification: 0.6229 (0.8135)  time: 0.2184  data: 0.0037  max mem: 5433
Epoch: [0]  [ 1380/29316]  eta: 1:42:02  lr: 0.005000  loss: 1.7253 (1.9776)  bbox_ctrness: 0.6552 (0.6637)  bbox_regression: 0.4344 (0.5028)  classification: 0.6145 (0.8111)  time: 0.2166  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1400/29316]  eta: 1:41:59  lr: 0.005000  loss: 1.7414 (1.9745)  bbox_ctrness: 0.6560 (0.6636)  bbox_regression: 0.4331 (0.5018)  classification: 0.6622 (0.8091)  time: 0.2232  data: 0.0037  max mem: 5433
Epoch: [0]  [ 1420/29316]  eta: 1:41:54  lr: 0.005000  loss: 1.6827 (1.9709)  bbox_ctrness: 0.6484 (0.6634)  bbox_regression: 0.4398 (0.5008)  classification: 0.6237 (0.8067)  time: 0.2181  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1440/29316]  eta: 1:41:49  lr: 0.005000  loss: 1.7407 (1.9680)  bbox_ctrness: 0.6538 (0.6633)  bbox_regression: 0.4155 (0.4999)  classification: 0.6825 (0.8048)  time: 0.2158  data: 0.0038  max mem: 5433
Epoch: [0]  [ 1460/29316]  eta: 1:41:45  lr: 0.005000  loss: 1.7001 (1.9644)  bbox_ctrness: 0.6589 (0.6632)  bbox_regression: 0.4327 (0.4989)  classification: 0.5973 (0.8022)  time: 0.2197  data: 0.0037  max mem: 5433
Epoch: [0]  [ 1480/29316]  eta: 1:41:40  lr: 0.005000  loss: 1.7632 (1.9614)  bbox_ctrness: 0.6480 (0.6630)  bbox_regression: 0.4068 (0.4977)  classification: 0.6812 (0.8006)  time: 0.2176  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1500/29316]  eta: 1:41:36  lr: 0.005000  loss: 1.8077 (1.9592)  bbox_ctrness: 0.6591 (0.6630)  bbox_regression: 0.4348 (0.4969)  classification: 0.7113 (0.7993)  time: 0.2221  data: 0.0037  max mem: 5433
Epoch: [0]  [ 1520/29316]  eta: 1:41:32  lr: 0.005000  loss: 1.7576 (1.9566)  bbox_ctrness: 0.6556 (0.6630)  bbox_regression: 0.4165 (0.4959)  classification: 0.6654 (0.7977)  time: 0.2191  data: 0.0039  max mem: 5433
Epoch: [0]  [ 1540/29316]  eta: 1:41:27  lr: 0.005000  loss: 1.6912 (1.9533)  bbox_ctrness: 0.6484 (0.6628)  bbox_regression: 0.4011 (0.4949)  classification: 0.6282 (0.7956)  time: 0.2189  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1560/29316]  eta: 1:41:23  lr: 0.005000  loss: 1.6726 (1.9501)  bbox_ctrness: 0.6486 (0.6627)  bbox_regression: 0.4205 (0.4939)  classification: 0.6248 (0.7935)  time: 0.2180  data: 0.0034  max mem: 5433
Epoch: [0]  [ 1580/29316]  eta: 1:41:20  lr: 0.005000  loss: 1.6778 (1.9470)  bbox_ctrness: 0.6511 (0.6625)  bbox_regression: 0.4216 (0.4929)  classification: 0.6452 (0.7916)  time: 0.2229  data: 0.0035  max mem: 5433
Epoch: [0]  [ 1600/29316]  eta: 1:41:15  lr: 0.005000  loss: 1.6491 (1.9439)  bbox_ctrness: 0.6431 (0.6623)  bbox_regression: 0.3878 (0.4917)  classification: 0.6434 (0.7899)  time: 0.2194  data: 0.0035  max mem: 5433
Epoch: [0]  [ 1620/29316]  eta: 1:41:10  lr: 0.005000  loss: 1.6727 (1.9408)  bbox_ctrness: 0.6521 (0.6621)  bbox_regression: 0.4064 (0.4908)  classification: 0.6354 (0.7878)  time: 0.2160  data: 0.0036  max mem: 5433
Epoch: [0]  [ 1640/29316]  eta: 1:41:04  lr: 0.005000  loss: 1.6665 (1.9373)  bbox_ctrness: 0.6465 (0.6620)  bbox_regression: 0.3821 (0.4896)  classification: 0.6269 (0.7858)  time: 0.2164  data: 0.0036  max mem: 5433
